Titles,Location,Price,Discount
OYO 29022 Golden Imperial,"Near Block C, Beta I, Noida",₹999,74% off
Capital O 45709 Peaceful Stays,"Near Sec 59 Metro Station, Sector-71, Noida",₹899,71% off
OYO 10666 Hotel Star,"Near Nirula,s Hotel, Naya Bans, Noida",₹999,72% off
OYO 82414 Hotel Basera,"India, Noida",₹899,48% off
OYO 77125 S R Plaza,"Gautam Buddha Nagar, Noida",₹999,70% off
OYO Townhouse 589 Hotel Diamond View,50161 Bhati House gali no. 1 university road kasna Greater Noida,₹999,70% off
OYO 73491 Rj Villa,"Near Gautam Buddha Nagar, Sector 63, Noida",₹949,52% off
OYO 8907 The Nest,"On main street, Near Ansal Plaza, Pari Chowk, Noida",₹949,54% off
Capital O 81175 PEARL NEST,"India, Noida",₹1249,58% off
Collection O 76451 Da Urban Hotels & Restaurant,"Uttar Pradesh, Noida",₹899,78% off
Spot on 9077 Golden Tree,"Near Shopprix Mall, Sector 61, Noida",₹556,57% off
OYO 78869 Palace At Seventy two,"NEAR COMMUNITY CENTRE, SECTOR 72, NOIDA",₹749,60% off
OYO 79428 Saanj Bnb,"SL7, Block SL, Friends Enclave, Sector 49 Near Hanuman Murti",₹899,67% off
OYO 28629 Crosswind Gold,"On main street, Near HEMC Building, Sector 63, Noida",₹988,52% off
OYO 9071 Comfort Zone Guest House,"Near Kailash Healthcare Limited, Sector 26, Noida",₹999,70% off
OYO 78410 Collection O White House,"Noida, Noida",₹999,60% off
OYO Townhouse 82738 Comfort Stay Inn,"A44, near sapphire international school, Sector 70, Noida",₹1675,47% off
OYO 75440 Relax Inn,"Near IIMT, Knowledge Park III, Noida",₹749,80% off
OYO Townhouse 80033 Noida Grand,"B-7, Sector 72, Noida",₹999,73% off
SPOT ON 82617 Park Spot,Near indus vally public school..sector 62 noida,₹521,60% off
OYO 67790 Hotel Aarush,"Near Sikandrabad Jewar Road, Kakore, Noida",₹1249,56% off
SPOT ON 11050 Golden Nest,"Sector 66, Noida",₹680,48% off
OYO 80993 Mango Tree,"India, Noida",₹849,72% off
OYO 69824 N G Palace,"Near Tripathi Clinic, Sector 22, Noida",₹749,73% off
OYO 79604 Rl Residency,"India, Noida",₹899,71% off
OYO 83092 Park Inn,"Uttar Pradesh, Noida",₹1231,47% off
OYO 13592 Hotel Noida Villa,"Near Surabhi Hospital, Sector 51, Noida",₹849,56% off
Capital O 68248 Hotel Sapphire,"Near Gate no 3 sec 71, B Block, Noida",₹919,59% off
OYO 9073 RN 32,"Near B Block Market, Sector 62, Noida",₹749,71% off
OYO 82240 Hotel Noida 62,"Gautam Buddha Nagar, Noida",₹949,59% off
OYO 2807 Hotel Crosswinds Residency,"Near Sapphire International School, Sector 71, Noida",₹749,76% off
OYO 70900 Dream Valley,"T-118, Opposite Sai Mandir, Tigri, Noida Extension",₹949,64% off
OYO 67807 Hotel Sweet Home,"Near Pari Chowk, Ansal Golflink 1, Greater Noida",₹949,68% off
Townhouse 456 The Hotel Noida Grand,"WA60 , SECTOR135 , NOIDA",₹1486,47% off
SilverKey Executive Stays 39733 Rc164 Noida-62,"Near Labour Chowk, Khora Colony, Noida",₹899,62% off
OYO Townhouse 470 PP Residency,"Near Dynamic kick Boxing gym, G Block, Noida",₹1497,47% off
OYO 66305 Noida Palace,"Near Mithas Sweet, Sector 53, Noida",₹849,65% off
Capital O 12722 Hotel Kiara Inn,"Near Mri School, Sector-51, Noida",₹999,63% off
OYO 37169 Hotel Quadis,"BUILDING NO. H-22,BEHIND CLOUDNINE HOSPITAL, SECTOR-51",₹749,68% off
OYO NOD1139 Hotel AVENUE RESIDENCY,"fc complex dadri main road sec 102 silrpur bhangel noida dadri gautam budh nagar, Noida",₹949,61% off
OYO 70900 Dream Valley,"T-118, Opposite Sai Mandir, Tigri, Noida Extension",₹949,64% off
OYO 11926 OOAK Hotel,"Near, World School, School Sigma 1 , Noida",₹749,74% off
OYO 26753 Sona guest house,"Near Rajkiya Balika Inter College, Sector 51, Noida",₹949,61% off
OYO 79996 Flagship Hotel G M Homes,"Uttar Pradesh, Noida",₹1349,48% off
SilverKey Executive Stays 39733 Rc164 Noida-62,"Near Labour Chowk, Khora Colony, Noida",₹899,62% off
OYO Townhouse 470 PP Residency,"Near Dynamic kick Boxing gym, G Block, Noida",₹1497,47% off
Collection O 30118 Oshy Marg,"Near Fortis- Angels Nest, Noida",₹2878,47% off
OYO 66305 Noida Palace,"Near Mithas Sweet, Sector 53, Noida",₹849,65% off
Capital O 12722 Hotel Kiara Inn,"Near Mri School, Sector-51, Noida",₹999,63% off
OYO 65991 Smg Gorge 3,"Near Parthala Chowk,Plot No. CM 27,Sector 122, Noida",₹1339,48% off
OYO 37169 Hotel Quadis,"BUILDING NO. H-22,BEHIND CLOUDNINE HOSPITAL, SECTOR-51",₹749,68% off
OYO NOD1139 Hotel AVENUE RESIDENCY,"fc complex dadri main road sec 102 silrpur bhangel noida dadri gautam budh nagar, Noida",₹949,61% off
"Collection O 45795 Le Noida Hotel, Near Sector 76 Metro Station.","Near Hanuman Temple, Hanuman Vihar, Sector 49, Noida",₹949,56% off
OYO 14015 Diamond Stays,"Near mana Rachna School, Sector 51, Noida",₹970,47% off
OYO 480 NOIDA ROYAL RESIDENCY,"Near United Bank of India, Sector-52, Noida",₹1279,47% off
Collection O 50240 Hotel Balram,"Near Sec 34 Metro Station, C-5 Sec 51 Noida",₹749,64% off
OYO 67807 Hotel Sweet Home,"Near Pari Chowk, Ansal Golflink 1, Greater Noida",₹949,63% off
OYO 69726 Hotel Sweet Dreams,"Near Rabupura, Mirjapur Dankur road, Greater Noida",₹1333,47% off
Capital O 13310 Noida Suites,"On main street, Near Labour Chowk, Village Bishanpura, Noida",₹1548,47% off
OYO 79165 Collection O Hotel Green view,"ANSAL GOLF LINK Greater Noida, Noida",₹999,60% off
OYO 75125 Hotel Pari,"Near Company Luksar, Kasna, Noida",₹699,77% off
Capital O 64120 Hotel Noida Suites,"Near Bus Stand, Labour chowk, Bishanpura, Noida",₹1029,54% off
Capital O 46636 Diamond Imperial,"Near Dainik Jagran newspaper office, Chhajarsi, Noida",₹749,66% off
OYO 79034 Staybia Neo,A18 sector-50 Noida near city Center metro station.,₹949,69% off
OYO Flagship 71229 Krishna Residency,"Near Om Hospital, Mamura, Noida",₹749,54% off
OYO 13278 Hotel Mohan Regency,"Near Labour Chowk, Opp. Sector 57, Noida",₹899,61% off
Capital O 78896 Hotel Green Apple 1,"India, Noida",₹999,65% off
OYO 82284 Pl Guest House,"India, Noida",₹749,68% off
CAPITAL O 71004 GRANDEUR HOTEL,"Sector 71 Noida, Noida",₹749,66% off
OYO Flagship 77565 akshit residency,PK-B16 Near water tank Sector 122 NOIDA,₹949,52% off
OYO 80670 Dvs Palace,"Near SD School, Sector 49, Noida",₹949,68% off
OYO 67147 Paradise Pearl Hotel,"Near IGl Oil Filing, Sector 71, Noida",₹949,56% off
Capital O 14451 The residency,"Near Sector-16 Metro Station, Naya Bans, Noida",₹999,64% off
Collection O 82471 Hotel Hari International-moca,"Noida, Noida",₹949,63% off
OYO Flagship 71969 HOTEL JOYSTICK,"Uttar Pradesh, Noida",₹999,63% off
Collection O 46143 Hotel Ratiram Palace,"Near Vinayak hospital, Atta, Noida",₹1029,66% off
OYO 69453 Greno In,"Near RS Plaza, Noida",₹949,56% off
OYO 67790 Hotel Aarush,"Near Sikandrabad Jewar Road, Kakore, Noida",₹1249,56% off
SPOT ON 11050 Golden Nest,"Sector 66, Noida",₹680,48% off
OYO 80993 Mango Tree,"India, Noida",₹849,72% off
OYO16687 HOTEL CRYSTAL LEAF,"Near Noida City centre metro Station, Sector 51, Noida",₹1099,57% off
OYO 10663 Homestead,"On main street, Near Fortis Hospital, Sector 62, Noida",₹1049,65% off
OYO TOWNHOUSE 390 The Madhav Sector 58 Noida,"Sector 58, Noida",₹1537,50% off
OYO 9074 Mascot TREO,"On main street, Near Big Hanuman Murti, Sector 49, Noida",₹749,68% off
OYO 26782 Mehak Palace,"Near Fortis Hospital, Sector 62, Noida",₹1099,60% off
OYO Townhouse 070 Knowledge Park ||| Near Sharda University,"Near IIMT College, Knowledge Park III, Noida",₹999,69% off
OYO 10361 Hotel Stay @ 23,"Near Modern Sales Corporation, Sector 23, Noida",₹1099,71% off
OYO 48900 Grand & Epic Inn,"Near Footprint School, Sector 104, Noida",₹1249,55% off
Collection O 82565 Hotel Park View Inn,"Gautam Buddha Nagar, Noida",₹949,69% off
OYO 75124 Hotel Rama Deluxe,"Near Yamaha company, Udyog Kendra 2, Noida",₹1049,69% off
OYO 64662 Hotel Baba Residency,"Near Global Hospital, Sector 63 A, Noida",₹849,68% off
OYO 10661 DSR Classic,"Near Mother Dairy, Sec 12 Plot No-H 101, Noida",₹1275,48% off
OYO 81465 Shashank Plaza,Sikandrabad Bypass Sirodhan Road,₹949,51% off
OYO 76495 Twins Palace,"Near LPS Global School Dadri, Noida",₹849,68% off
OYO 79070 Carnival Stays,"H-7, Bishanpura, Sector 58 Noida.",₹849,57% off
Collection O 50308 Dadri Main Rd Surajpur,"Gurudwara Road, Surajpur, Greater Noida",₹999,69% off
OYO 74897 Hotel Cayman,"Near Pari Chowk Metro Station, Tugalpur, Noida",₹1049,78% off
Collection O 46357 Elegant Stay Fortis Hospital,"BH-01, Nr Shramdeep Appt, Sector 62, Noida",₹1291,49% off
OYO 82951 Umang Plaza,"India, Noida",₹916,56% off
OYO 19889 The Mirage,"Near Shopprix Mall, Sector 61, Noida",₹949,66% off
Collection O 82685 Hotel Cubic Stays,"Uttar Pradesh, Noida",₹899,51% off
OYO Flagship 77712 Hotel Ridaniya-Inn,"Dadri, Noida",₹749,61% off
OYO 64950 Hotel Royal plaza,"Near labour chowk, Brijesh Tower, Khora Main Road, Noida",₹749,69% off
Capital O (68099) AP Stay Inn,"Near Prateek Stylome Society, Sector 45 ,Noida",₹999,73% off
Capital O 81196 Friends Zone The Guest House,"India, Noida",₹1049,67% off
OYO 8764 Hotel Green View Palace,"Near Indus Valley Public School, Sector 62, Noida",₹899,66% off
OYO 10664 Aone INN,"Near Gaur Chauk, Sector-122, Noida",₹949,64% off
SPOT ON 68558 Rb Farms,"Near Diamond Plaza, Roja Jalalpur, Noida",₹671,48% off
OYO Spot On 73486 Braham Kunj,"Near ector 59 Metro, StationVishwakarma Road, Noida",₹949,51% off
OYO Flagship 75488 Royal Grand Inn,"Near Cloud Nine Hospital, Sec 51, Noida",₹749,58% off
OYO 5081 Red Carpet Hotels,"Near Cleo County, Noida",₹999,65% off
OYO 80386 Kailash Stays,"India, Noida",₹699,70% off
OYO 74958 Ansh Guest House,"Near metro hospital, Block H, Noida",₹849,66% off
OYO 62106 Royal Residency,"Near NAAN Factory, Wazidpur, Noida",₹999,48% off
OYO 80492 Royal Stay,"India, Noida",₹949,57% off
SPOT ON 46177 Hotel King's,"Near Pari Chowk, Tugalpur, Noida",₹749,68% off
SPOT ON 80928 Ak Residency,"India, Noida",₹849,42% off
OYO 40645 J P Residency,"Near Chhijarsi, Sector 63, Noida",₹749,69% off
Capital O 73469 Hotel Libet,"Near HCL Technologies, Sector 126 Noida",₹1049,55% off
CAPITAL O 75500 TURBAN MAN HOSPITALITY,"Near Sec 105 CNG Pump, Sector 108, Noida",₹1298,47% off
OYO 46156 OShiva Stay,"Near Saphire school, Sector 70, Noida",₹749,80% off
OYO 11521 Tsl Livin Hub,"On main street, Near Fortis Hospital, Sector 62, Noida",₹949,49% off
OYO 70642 Noida Villa,"Near Bus Stand, Sector 58, Bishanpura, Noida",₹1099,63% off
OYO 70577 Hotel Shlok Inn,"Uttar Pradesh, Noida",₹875,67% off
OYO 30385 Avyaan Residency,"Near Hanuman Mandir, Sector 121, Noida",₹699,60% off
Capital O (NOD1066) (Perfect INN),"C-86, Near Gate No.2, DPS Road, Sector - 30, Noida",₹999,61% off
OYO 65475 Raj Hotel And Restaurant,"Near Shiv Nadar University, Dadri, Noida",₹1099,58% off
OYO 64411 Diamond Villa,"Near Shiv Mandir, Sector 55, Noida",₹749,73% off
OYO 37345 Hotel Saffron Living,"Near Sharda University, Greater Noida, Noida",₹949,64% off
OYO 78374Collection O Essendi Hospitalities Llp,"Sector 19, Noida",₹1349,60% off
POP 83447 Royal Stay,"Sector 11, Noida",₹1029,47% off
CAPITAL O 30981 WINSOME INN,"H-46, Near Diamond Crown Banquet Hall, Sector 51, Noida",₹949,61% off
OYO Townhouse 531 Sector 50,"Sector 50, Noida",₹1604,47% off
OYO 49486 Star Rooms,"Near Delvin Patholodgy, Noida",₹699,64% off
OYO 81121 Stay 130,"India, Noida",₹1249,58% off
OYO 82128 Golden Regency,"India, Noida",₹899,43% off
Capital O 75273 Hotel Exotica Noida Expressway,"Near Sector 105, Noida",₹1249,57% off
OYO 9192 Hotel Raghav Residency,"Near Fortune Park, Sector 105, Noida",₹999,44% off
OYO Flagship 402 Hotel Noida Residency,"Near Noida City Centre Metro Station, Sector 39, Noida",₹1309,47% off
OYO NOD1223 Cross Town Hotel & Restaurants,"Plot no 188, Achheja, Near Hero motors, Dadri main road, Dadri",₹1049,61% off
